Model_A,Model_B,Acc_A,Acc_B,Delta_Acc,chi2,p_value,Significant
vgg16_rgb,vgg16_rgb_fft,0.9636,0.9631,0.0005,0.4342,0.509951,NO
vgg16_rgb,vgg16_rgb_fft_phy,0.9636,0.9799,-0.0163,441.7673,0.0,YES
vgg16_rgb,xcep_rgb,0.9636,0.9795,-0.0159,363.229,0.0,YES
vgg16_rgb,xcep_rgb_fft,0.9636,0.9867,-0.0231,769.2313,0.0,YES
vgg16_rgb,xcep_rgb_fft_phy,0.9636,0.9906,-0.027,1104.0877,0.0,YES
vgg16_rgb_fft,vgg16_rgb_fft_phy,0.9631,0.9799,-0.0168,453.0006,0.0,YES
vgg16_rgb_fft,xcep_rgb,0.9631,0.9795,-0.0164,375.1589,0.0,YES
vgg16_rgb_fft,xcep_rgb_fft,0.9631,0.9867,-0.0236,788.463,0.0,YES
vgg16_rgb_fft,xcep_rgb_fft_phy,0.9631,0.9906,-0.0275,1134.1531,0.0,YES
vgg16_rgb_fft_phy,xcep_rgb,0.9799,0.9795,0.0004,0.2508,0.616524,NO
vgg16_rgb_fft_phy,xcep_rgb_fft,0.9799,0.9867,-0.0069,113.2341,0.0,YES
vgg16_rgb_fft_phy,xcep_rgb_fft_phy,0.9799,0.9906,-0.0108,312.9302,0.0,YES
xcep_rgb,xcep_rgb_fft,0.9795,0.9867,-0.0073,132.25,0.0,YES
xcep_rgb,xcep_rgb_fft_phy,0.9795,0.9906,-0.0111,332.5976,0.0,YES
xcep_rgb_fft,xcep_rgb_fft_phy,0.9867,0.9906,-0.0039,66.1833,0.0,YES
