Threshold,Accuracy,Precision,Recall,F1
0.05,0.9865,0.9798,0.9975,0.9885
0.1,0.9882,0.9835,0.9964,0.9899
0.15,0.989,0.9855,0.9958,0.9907
0.2,0.9895,0.9868,0.9953,0.991
0.25,0.9899,0.9881,0.9948,0.9914
0.3,0.99,0.9888,0.9942,0.9915
0.35,0.9901,0.9893,0.9937,0.9915
0.4,0.9902,0.9899,0.9933,0.9916
0.45,0.9904,0.9907,0.9928,0.9917
0.5,0.9906,0.9912,0.9927,0.992
0.55,0.9905,0.9914,0.9923,0.9918
0.6,0.9904,0.9919,0.9917,0.9918
0.65,0.9906,0.9923,0.9915,0.9919
0.7,0.9907,0.993,0.991,0.992
0.75,0.9904,0.9936,0.9899,0.9917
0.8,0.9899,0.9943,0.9883,0.9913
0.85,0.9895,0.9953,0.9867,0.9909
0.9,0.9879,0.9959,0.9832,0.9895
0.95,0.985,0.9967,0.9775,0.987
